"","Survived","Pclass","Sex","Age","Fare","Embarked"
"1",1,1,"female",35,512.3292,"C"
"2",1,1,"male",36,512.3292,"C"
"3",1,1,"male",35,512.3292,"C"
"4",0,1,"male",19,263,"S"
"5",1,1,"female",23,263,"S"
"6",1,1,"female",24,263,"S"
"7",0,1,"male",64,263,"S"
"8",1,1,"female",18,262.375,"C"
"9",1,1,"female",21,262.375,"C"
"10",0,1,"male",24,247.5208,"C"
"11",1,1,"female",50,247.5208,"C"
"12",1,1,"female",42,227.525,"C"
"13",1,1,"female",18,227.525,"C"
"14",1,1,"female",38,227.525,"C"
"15",0,1,"male",27,211.5,"C"
"16",1,1,"female",15,211.3375,"S"
"17",1,1,"female",29,211.3375,"S"
"18",1,1,"female",43,211.3375,"S"
"19",1,1,"female",31,164.8667,"S"
"20",1,1,"female",45,164.8667,"S"
"21",1,1,"female",58,153.4625,"S"
"22",0,1,"male",38,153.4625,"S"
"23",1,1,"female",40,153.4625,"S"
"24",0,1,"female",2,151.55,"S"
"25",1,1,"male",0.92,151.55,"S"
"26",0,1,"female",25,151.55,"S"
"27",1,1,"female",22,151.55,"S"
"28",1,1,"female",58,146.5208,"C"
"29",1,1,"female",35,135.6333,"S"
"30",1,1,"female",36,135.6333,"C"
"31",0,1,"male",22,135.6333,"C"
"32",1,1,"female",40,134.5,"C"
"33",1,1,"female",41,134.5,"C"
"34",1,1,"male",50,133.65,"S"
"35",1,1,"male",36,120,"S"
"36",1,1,"female",14,120,"S"
"37",1,1,"female",36,120,"S"
"38",1,1,"male",11,120,"S"
"39",1,1,"female",31,113.275,"C"
"40",1,1,"female",23,113.275,"C"
"41",0,1,"male",58,113.275,"C"
"42",1,1,"male",17,110.8833,"C"
"43",1,1,"female",39,110.8833,"C"
"44",0,1,"male",49,110.8833,"C"
"45",1,1,"female",17,108.9,"C"
"46",0,1,"male",18,108.9,"C"
"47",1,1,"female",30,106.425,"C"
"48",0,1,"male",50,106.425,"C"
"49",1,1,"female",30,93.5,"S"
"50",1,1,"female",52,93.5,"S"
"51",1,1,"female",19,91.0792,"C"
"52",1,1,"male",25,91.0792,"C"
"53",1,1,"male",38,90,"S"
"54",0,1,"male",44,90,"Q"
"55",1,1,"female",33,90,"Q"
"56",1,1,"female",35,90,"S"
"57",1,1,"male",49,89.1042,"C"
"58",1,1,"female",30,86.5,"S"
"59",1,1,"female",16,86.5,"S"
"60",1,1,"female",33,86.5,"S"
"61",0,1,"male",45,83.475,"S"
"62",1,1,"female",35,83.475,"S"
"63",1,1,"female",24,83.1583,"C"
"64",1,1,"female",39,83.1583,"C"
"65",1,1,"female",56,83.1583,"C"
"66",0,1,"male",28,82.1708,"C"
"67",1,1,"male",4,81.8583,"S"
"68",1,1,"female",38,80,""
"69",1,1,"female",62,80,""
"70",0,1,"male",52,79.65,"S"
"71",1,1,"female",39,79.65,"S"
"72",1,1,"female",18,79.65,"S"
"73",0,1,"male",24,79.2,"C"
"74",1,1,"male",60,79.2,"C"
"75",0,1,"male",46,79.2,"C"
"76",1,1,"female",26,78.85,"S"
"77",0,1,"male",36,78.85,"S"
"78",1,1,"female",54,78.2667,"C"
"79",1,1,"female",52,78.2667,"C"
"80",1,1,"female",63,77.9583,"S"
"81",1,1,"female",21,77.9583,"S"
"82",1,1,"female",51,77.9583,"S"
"83",0,1,"male",21,77.2875,"S"
"84",0,1,"male",54,77.2875,"S"
"85",1,1,"female",49,76.7292,"C"
"86",1,1,"male",48,76.7292,"C"
"87",1,1,"male",27,76.7292,"C"
"88",1,1,"female",32,76.2917,"C"
"89",1,1,"female",60,75.25,"C"
"90",0,2,"male",21,73.5,"S"
"91",0,2,"male",21,73.5,"S"
"92",0,2,"male",18,73.5,"S"
"93",0,2,"male",24,73.5,"S"
"94",0,2,"male",32,73.5,"S"
"95",1,1,"female",38,71.2833,"C"
"96",1,1,"female",36,71,"S"
"97",0,1,"male",70,71,"S"
"98",1,1,"female",24,69.3,"C"
"99",1,1,"female",24,69.3,"C"
"100",1,1,"female",22,66.6,"S"
"101",0,1,"male",29,66.6,"S"
"102",1,2,"female",24,65,"S"
"103",1,2,"female",48,65,"S"
"104",1,1,"male",23,63.3583,"C"
"105",0,1,"male",65,61.9792,"C"
"106",0,1,"male",51,61.3792,"C"
"107",0,1,"male",46,61.175,"S"
"108",1,1,"female",54,59.4,"C"
"109",1,1,"female",16,57.9792,"C"
"110",1,1,"female",44,57.9792,"C"
"111",1,1,"male",31,57,"S"
"112",1,1,"female",17,57,"S"
"113",1,1,"female",30,56.9292,"C"
"114",1,1,"male",49,56.9292,"C"
"115",1,3,"male",32,56.4958,"S"
"116",0,3,"male",28,56.4958,"S"
"117",1,3,"male",26,56.4958,"S"
"118",1,3,"male",32,56.4958,"S"
"119",0,1,"male",50,55.9,"S"
"120",1,1,"female",39,55.9,"S"
"121",1,1,"male",25,55.4417,"C"
"122",1,1,"female",22,55,"S"
"123",1,1,"female",35,53.1,"S"
"124",0,1,"male",37,53.1,"S"
"125",1,1,"male",27,53.1,"S"
"126",0,1,"male",19,53.1,"S"
"127",1,1,"female",33,53.1,"S"
"128",1,1,"male",37,52.5542,"S"
"129",1,1,"male",42,52.5542,"S"
"130",1,1,"female",47,52.5542,"S"
"131",0,1,"male",42,52,"S"
"132",0,1,"male",47,52,"S"
"133",1,1,"female",35,52,"S"
"134",0,1,"male",31,52,"S"
"135",1,1,"male",48,52,"S"
"136",0,1,"male",54,51.8625,"S"
"137",1,1,"female",53,51.4792,"S"
"138",0,1,"male",31,50.4958,"S"
"139",0,1,"male",71,49.5042,"C"
"140",1,1,"female",24,49.5042,"C"
"141",1,1,"female",22,49.5,"C"
"142",0,1,"male",28,47.1,"S"
"143",0,3,"male",11,46.9,"S"
"144",0,3,"female",16,46.9,"S"
"145",0,3,"male",1,46.9,"S"
"146",0,3,"male",9,46.9,"S"
"147",0,3,"female",43,46.9,"S"
"148",0,3,"male",14,46.9,"S"
"149",1,2,"female",3,41.5792,"C"
"150",1,2,"female",22,41.5792,"C"
"151",0,2,"male",25,41.5792,"C"
